Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
500400,Tata Power Company Ltd,Tata Sons Private Limited,Promoter,Equity Shares,1444513021,45.21,Equity Shares,17739505,1750000000.00,Pledge,Equity,1444513021,45.21,25 Mar 2021,25 Mar 2021,30 Mar 2021,Pledge Released,,,,,,,NA,31 Mar 2021
500400,Tata Power Company Ltd,N. Chandrasekaran,Director,Equity Shares,200000,0.01,Equity Shares,250000,15750000.00,Acquisition,Equity,450000,0.01,27 Nov 2020,27 Nov 2020,02 Dec 2020,Market Purchase,,,,,,,NSE,03 Dec 2020
500400,Tata Power Company Ltd,N. Chandrasekaran,Director,Equity Shares,450000,0.01,Equity Shares,250000,17000000.00,Acquisition,Equity,700000,0.02,01 Dec 2020,01 Dec 2020,02 Dec 2020,Market Purchase,,,,,,,NSE,03 Dec 2020
500400,Tata Power Company Ltd,Tata Sons Private Limited,Promoter,Equity Shares,953946984,35.27,Equity Shares,490566037,25999999961.00,Acquisition,Equity,1444513021,45.21,13 Aug 2020,13 Aug 2020,17 Aug 2020,Preferential Offer,,,,,,,NA,18 Aug 2020
500400,Tata Power Company Ltd,N. Chandrasekaran,Director,Equity Shares,0,0.00,Equity Shares,200000,8238000.00,Acquisition,Equity,200000,0.01,16 Mar 2020,16 Mar 2020,18 Mar 2020,Market Purchase,,,,,,,NSE,18 Mar 2020
500400,Tata Power Company Ltd,Tata Sons Private Limited,Promoter,Equity Shares,926668205,34.26,Equity Shares,13878964,537393486.00,Acquisition,Equity,940547169,34.77,12 Mar 2020,12 Mar 2020,16 Mar 2020,Market Purchase,,,,,,,NSE,17 Mar 2020
500400,Tata Power Company Ltd,Tata Sons Private Limited,Promoter,Equity Shares,940547169,34.77,Equity Shares,13399815,556092322.00,Acquisition,Equity,953946984,35.27,13 Mar 2020,13 Mar 2020,16 Mar 2020,Market Purchase,,,,,,,NSE,17 Mar 2020
500400,Tata Power Company Ltd,Tata Sons Private Limited,Promoter,Equity Shares,915710925,33.86,Equity Shares,3869699,258264168.00,Acquisition,Equity,919580624,34.00,20 Sep 2019,20 Sep 2019,24 Sep 2019,Market Purchase,,,,,,,NSE,26 Sep 2019
500400,Tata Power Company Ltd,Tata Sons Private Limited,Promoter,Equity Shares,919580624,34.00,Equity Shares,6875371,460993626.00,Acquisition,Equity,926455995,34.25,23 Sep 2019,23 Sep 2019,24 Sep 2019,Market Purchase,,,,,,,NSE,26 Sep 2019
500400,Tata Power Company Ltd,Tata Sons Private Limited,Promoter,Equity Shares,926455995,34.25,Equity Shares,83006,5568042.00,Acquisition,Equity,926539001,34.26,23 Sep 2019,23 Sep 2019,24 Sep 2019,Market Purchase,,,,,,,BSE,26 Sep 2019
